Date,Name,Year,Letterboxd URI,Rating
2021-11-05,Reminiscence,2021,https://boxd.it/lhMM,3.5
2021-11-05,F9,2021,https://boxd.it/dqsU,3
2021-11-05,Godzilla vs. Kong,2021,https://boxd.it/e0qK,3.5
2021-11-05,Luca,2021,https://boxd.it/ipjC,4
2021-11-05,The Croods: A New Age,2020,https://boxd.it/jeHK,3.5
2021-11-05,Army of the Dead,2021,https://boxd.it/ic7S,3.5
2021-11-05,Midsommar,2019,https://boxd.it/jhxe,4
2021-11-05,Susi Susanti - Love All,2019,https://boxd.it/mPKC,3.5
2021-11-06,The Lego Movie,2014,https://boxd.it/4pDO,3
2021-11-18,I Want to Eat Your Pancreas,2018,https://boxd.it/ie6C,4.5
2021-11-22,No Time to Die,2021,https://boxd.it/cPX2,4
2021-11-22,Tenet,2020,https://boxd.it/leq4,4
2021-11-22,Weathering with You,2019,https://boxd.it/kPxE,4
2021-11-22,The Imitation Game,2014,https://boxd.it/6aig,4
2021-11-22,The Lord of the Rings: The Two Towers,2002,https://boxd.it/2b5E,4.5
2021-11-22,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,4.5
2021-11-22,The Greatest Showman,2017,https://boxd.it/acjI,3.5
2021-11-22,Hidden Figures,2016,https://boxd.it/dgS4,3.5
2021-11-22,X-Men: Days of Future Past,2014,https://boxd.it/4aRw,3.5
2021-12-14,Generasi 90an: Melankolia,2020,https://boxd.it/oFnC,2
2021-12-14,The Mitchells vs. The Machines,2021,https://boxd.it/i7xm,5
2021-12-14,Habibie & Ainun 3,2019,https://boxd.it/mApa,3.5
2021-12-15,Georgia,2021,https://boxd.it/rYMW,4.5
2021-12-16,Wolfwalkers,2020,https://boxd.it/fGrC,4.5
2021-12-21,Shang-Chi and the Legend of the Ten Rings,2021,https://boxd.it/kLDI,4
2021-12-21,"Josee, the Tiger and the Fish",2020,https://boxd.it/oh1i,3.5
2021-12-26,The Falcon and the Winter Soldier,2021,https://boxd.it/sbH6,3
2021-12-26,Flipped,2010,https://boxd.it/Tb8,4.5
2021-12-26,Her,2013,https://boxd.it/4O24,4.5
2021-12-28,The Last Duel,2021,https://boxd.it/mQbe,4
2021-12-29,In the Mood for Love,2000,https://boxd.it/29tE,5
2021-12-31,Hawkeye,2021,https://boxd.it/xQqK,3.5
2021-12-31,The Professor and the Madman,2019,https://boxd.it/evTI,4
2022-01-06,Don't Look Up,2021,https://boxd.it/o0Hc,3.5
2022-01-06,Oldboy,2003,https://boxd.it/29R2,4.5
2022-01-14,Harry Potter 20th Anniversary: Return to Hogwarts,2022,https://boxd.it/xXJk,3.5
2022-01-16,Eternals,2021,https://boxd.it/j36o,3
2022-01-17,Licorice Pizza,2021,https://boxd.it/qTKY,3.5
2022-02-16,Star Wars,1977,https://boxd.it/72s,4
2022-02-19,The Empire Strikes Back,1980,https://boxd.it/27Vw,4
2022-02-19,Flee,2021,https://boxd.it/ponM,4.5
2022-03-01,Love and Leashes,2022,https://boxd.it/szB2,3
2022-03-07,You Are the Apple of My Eye,2018,https://boxd.it/jaqU,3.5
2022-03-07,Nightmare Alley,2021,https://boxd.it/m0HC,3
2022-03-09,Yuni,2021,https://boxd.it/tXkw,4.5
2022-03-10,Drive My Car,2021,https://boxd.it/sv94,5
2022-03-10,Little Women,2019,https://boxd.it/aSVk,5
2022-03-10,Se7en,1995,https://boxd.it/29zs,5
2022-03-15,Prisoners,2013,https://boxd.it/4E5i,4.5
2022-03-15,Silenced,2011,https://boxd.it/2QGG,4
2022-03-16,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,4.5
2022-03-16,The French Dispatch,2021,https://boxd.it/jLP8,3.5
2022-03-16,The Worst Person in the World,2021,https://boxd.it/oyws,3.5
2022-04-16,West Side Story,2021,https://boxd.it/iwt0,4
2022-04-24,Shoplifters,2018,https://boxd.it/ifY6,4.5
2022-04-30,Summer Ghost,2021,https://boxd.it/u3pW,3
2022-04-30,Soul,2020,https://boxd.it/ioLA,4.5
2022-04-30,Enola Holmes,2020,https://boxd.it/hX2o,3.5
2022-04-30,Tamako Love Story,2014,https://boxd.it/7Bww,3
2022-04-30,Burning,2018,https://boxd.it/hHUa,5
2022-05-01,Zodiac,2007,https://boxd.it/27MO,4
2022-05-02,Minari,2020,https://boxd.it/mL9M,4.5
2022-05-03,Dune,2021,https://boxd.it/fA7G,4.5
2022-05-03,The Power of the Dog,2021,https://boxd.it/m99E,4.5
2022-05-07,Up,2009,https://boxd.it/1OEc,4
2022-05-07,The Suicide Squad,2021,https://boxd.it/fw6O,4
2022-05-07,Save Ralph,2021,https://boxd.it/ux2o,4
2022-05-07,Spotlight,2015,https://boxd.it/a84k,4.5
2022-05-07,Mission: Impossible - Rogue Nation,2015,https://boxd.it/5rI4,3.5
2022-05-07,Spider-Man: Homecoming,2017,https://boxd.it/aboM,3
2022-05-07,The Avengers,2012,https://boxd.it/1xFW,4
2022-05-10,Palm Springs,2020,https://boxd.it/lCXQ,4
2022-05-13,The Northman,2022,https://boxd.it/nK2s,3.5
2022-05-18,Doctor Strange in the Multiverse of Madness,2022,https://boxd.it/gaTc,3.5
2022-05-19,Coco,2017,https://boxd.it/bYJQ,4
2022-05-19,Toy Story 4,2019,https://boxd.it/9ALu,4
2022-05-19,The Hobbit: An Unexpected Journey,2012,https://boxd.it/GZk,4
2022-05-19,5 Centimeters per Second,2007,https://boxd.it/16G4,4
2022-05-19,A Quiet Place Part II,2020,https://boxd.it/iTx0,3.5
2022-05-19,John Wick: Chapter 3 - Parabellum,2019,https://boxd.it/gmFw,3.5
2022-05-19,Mission: Impossible - Fallout,2018,https://boxd.it/bSVc,4.5
2022-05-19,Da 5 Bloods,2020,https://boxd.it/lnXw,3.5
2022-05-19,Love and Monsters,2020,https://boxd.it/lJ6E,3.5
2022-05-19,Ghost Painter,2020,https://boxd.it/oZeK,3
2022-05-19,This Earth of Mankind,2019,https://boxd.it/mwAo,3
2022-05-19,Your Lie in April,2016,https://boxd.it/e5KU,3
2022-05-19,Captain Marvel,2019,https://boxd.it/9vSA,2.5
