Date,Name,Year,Letterboxd URI
2021-04-26,Habibie & Ainun 3,2019,https://boxd.it/mApa
2021-04-27,Generasi 90an: Melankolia,2020,https://boxd.it/oFnC
2021-04-28,Sound of Metal,2019,https://boxd.it/i7Q4
2021-05-01,The Mitchells vs. The Machines,2021,https://boxd.it/i7xm
2021-05-05,The Truman Show,1998,https://boxd.it/18U8
2021-05-12,The Wind Rises,2013,https://boxd.it/4JQS
2021-05-14,Howl's Moving Castle,2004,https://boxd.it/23De
2021-05-20,22 vs. Earth,2021,https://boxd.it/uyDA
2021-05-20,Lamp Life,2020,https://boxd.it/lTYG
2021-05-24,Inglourious Basterds,2009,https://boxd.it/1JzG
2021-05-24,Army of the Dead,2021,https://boxd.it/ic7S
2021-10-20,"Josee, the Tiger and the Fish",2020,https://boxd.it/oh1i
2021-10-20,Cruella,2021,https://boxd.it/bbKg
2021-10-20,A Quiet Place Part II,2020,https://boxd.it/iTx0
2021-10-20,Burning,2018,https://boxd.it/hHUa
2021-10-20,Black Widow,2021,https://boxd.it/hWV8
2021-10-20,Snowpiercer,2013,https://boxd.it/3Icg
2021-10-20,Reminiscence,2021,https://boxd.it/lhMM
2021-10-20,Dune,2021,https://boxd.it/fA7G
2021-11-05,F9,2021,https://boxd.it/dqsU
2021-11-05,The Suicide Squad,2021,https://boxd.it/fw6O
2021-11-05,Luca,2021,https://boxd.it/ipjC
2021-11-12,No Time to Die,2021,https://boxd.it/cPX2
2021-11-12,Shang-Chi and the Legend of the Ten Rings,2021,https://boxd.it/kLDI
2021-12-10,The Power of the Dog,2021,https://boxd.it/m99E
2021-12-14,Georgia,2021,https://boxd.it/rYMW
2021-12-21,The French Dispatch,2021,https://boxd.it/jLP8
2021-12-25,Don't Look Up,2021,https://boxd.it/o0Hc
2021-12-26,The Falcon and the Winter Soldier,2021,https://boxd.it/sbH6
2021-12-26,Flipped,2010,https://boxd.it/Tb8
2021-12-28,The Last Duel,2021,https://boxd.it/mQbe
2021-12-29,In the Mood for Love,2000,https://boxd.it/29tE
2021-12-31,The Worst Person in the World,2021,https://boxd.it/oyws
2021-12-31,Spider-Man: No Way Home,2021,https://boxd.it/nwRw
